"NUM","antiguedad","depto.group","sexo","municipio","edo.civil.fit","sueldo","puesto","edad.fit","estudios","ingreso","rango.edad","meses.antiguedad","grupo.puesto","nivel.critico","cambios.depto","reingresos","cambios.sueldo","sueldo.min","sueldo.max","aumento","dias.para.aumento"
8394,191,"PREPARADO","masculino","LEON",4,1500,"PESPUNTADOR A",39,"Primaria",2012-06-04,4,6,"PESPUNTADOR A-B",1,0,1,0,1500,1500,0,0
8395,2,"PESPUNTE","femenino","LEON",3,453.32,"PRELIMINAR B",20,"Ninguno",2013-02-18,2,0,"PRELIMINAR A-B",2,1,2,0,453.32,453.32,0,0
8399,40,"PESPUNTE","femenino","LEON",3,950,"PRELIMINAR C",21,"Secundaria",2014-11-17,3,1,"PRELIMINAR C",5,0,2,1,850,950,100,77
8401,81,"PREPARADO","femenino","LEON",3,850,"PRELIMINAR C",20,"Ninguno",2015-05-04,2,2,"PRELIMINAR C",5,4,5,0,850,850,0,0
8402,42,"MONTADO","femenino","LEON",1,850,"PRELIMINAR B",25,"Secundaria",2012-05-31,3,1,"PRELIMINAR A-B",2,0,1,0,850,850,0,0
8403,14,"PREPARADO","femenino","LEON",3,900,"PRELIMINAR B",44,"Secundaria",2016-05-10,5,0,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8404,8,"AVIO","masculino","LEON",4,850,"PRELIMINAR C",23,"Secundaria",2014-05-29,3,0,"PRELIMINAR C",5,1,2,0,850,850,0,0
8405,28,"MONTADO","femenino","LEON",1,900,"PRELIMINAR B",34,"Ninguno",2012-06-04,4,0,"PRELIMINAR A-B",2,0,1,0,900,900,0,0
8416,935,"PESPUNTE","masculino","LEON",4,1800,"PESPUNTADOR A",37,"Secundaria",2013-01-28,4,31,"PESPUNTADOR A-B",1,9,16,2,1500,1800,300,994
8423,1675,"PREPARADO","femenino","LEON",3,1100,"A-PRELIMINAR",21,"Secundaria",2012-06-12,3,55,"PRELIMINAR A-B",2,0,4,3,100,1100,1000,1037
8426,35,"MONTADO","masculino","LEON",4,950,"PRELIMINAR B",26,"Secundaria",2013-06-27,3,1,"PRELIMINAR A-B",2,0,2,1,950,1200,250,24
8428,1681,"MONTADO","masculino","LEON",1,1600,"COMODIN",32,"Carrera Tecnica",2012-06-06,4,56,"CRITICO",0,4,13,4,1200,2500,1300,1380
8429,321,"PESPUNTE","masculino","LEON",3,1100,"CALIDAD",30,"Secundaria",2012-06-07,3,10,"CALIDAD",6,3,5,0,1100,1100,0,0
8430,160,"MONTADO","masculino","LEON",3,900,"CALIDAD ANDREA",23,"Preparatoria",2012-06-07,3,5,"CALIDAD",6,2,3,0,900,900,0,0
8431,238,"PESPUNTE","masculino","LEON",4,1500,"PESPUNTADOR A",36,"Secundaria",2012-06-13,4,7,"PESPUNTADOR A-B",1,0,1,0,1500,1500,0,0
8435,404,"MONTADO","masculino","LEON",1,1800,"CENTRADOR",30,"Primaria",2012-06-15,3,13,"CRITICO",0,0,1,0,1800,1800,0,0
8442,4,"PESPUNTE","femenino","LEON",3,900,"PRELIMINAR B",22,"Secundaria",2012-08-27,3,0,"PRELIMINAR A-B",2,1,2,0,900,900,0,0
8444,66,"PREPARADO","femenino","SILAO",3,1000,"PRELIMINAR A",25,"Primaria",2015-03-24,3,2,"PRELIMINAR A-B",2,0,1,0,1000,1000,0,0
8446,509,"MONTADO","femenino","LEON",3,900,"PRELIMINAR C",20,"Secundaria",2014-06-13,2,16,"PRELIMINAR C",5,1,2,1,800,900,100,371
8447,29,"MONTADO","masculino","SILAO",4,850,"PRELIMINAR C",22,"Primaria",2012-09-11,3,0,"PRELIMINAR C",5,0,1,0,850,850,0,0
8448,9,"PESPUNTE","femenino","LEON",3,900,"PRELIMINAR B",21,"Secundaria",2015-10-07,3,0,"PRELIMINAR A-B",2,1,2,1,850,900,50,1127
8449,555,"MONTADO","masculino","LEON",3,1050,"DESBASURAR",20,"Primaria",2013-08-14,2,18,"PRELIMINAR C",5,0,2,1,900,1050,150,203
8451,1,"PREPARADO","masculino","LEON",4,800,"PRELIMINAR B",20,"Secundaria",2012-11-27,2,0,"PRELIMINAR A-B",2,0,1,0,800,800,0,0
8452,77,"PREPARADO","femenino","LEON",3,453.32,"PRELIMINAR B",20,"Secundaria",2012-11-14,2,2,"PRELIMINAR A-B",2,0,2,1,453.32,800,346.68,71
8453,401,"MONTADO","femenino","LEON",3,850,"PRELIMINAR B",24,"Preparatoria",2012-06-26,3,13,"PRELIMINAR A-B",2,0,1,0,850,850,0,0
8457,58,"PREPARADO","femenino","LEON",3,800,"PRELIMINAR C",20,"Primaria",2012-06-27,2,1,"PRELIMINAR C",5,0,1,0,800,800,0,0
8463,36,"PREPARADO","femenino","LEON",3,950,"PRELIMINAR A",43,"Secundaria",2012-10-30,5,1,"PRELIMINAR A-B",2,0,1,0,950,950,0,0
